product_id,product_name,brand_name,campaign_name,impressions,spend,inline_link_clicks,date_start,date_stop
10653,Bosch Smart Home Zwischenstecker kompakt 4er-Set,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,4888,24.46,20,2022-10-01,2022-10-01
14480,Bosch Smart Home - Starter Set Heizung II mit 6 Heizkörper-Thermostaten,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,3012,10.25,23,2022-10-01,2022-10-01
12967,Nuki Smart Lock 3.0 + Bridge + Keypad,Nuki,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,2327,9.6,7,2022-10-01,2022-10-01
14930,Eve Thermo 8er-Set,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,1541,8.84,8,2022-10-01,2022-10-01
13097,eufy Solocam Solar 2K S40 2er-Set,eufy,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,1493,6.05,9,2022-10-01,2022-10-01
14481,Bosch Smart Home - Starter Set Heizung II mit 3 Heizkörper-Thermostaten,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,1466,6.37,10,2022-10-01,2022-10-01
6890,Google Nest Hub (2. Generation) 2er-Pack - Smart Display mit Sprachsteuerung,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,1361,4.82,5,2022-10-01,2022-10-01
14490,Bosch Smart Home Heizkörper-Thermostat II 2er-Set,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,1038,3.9,1,2022-10-01,2022-10-01
15180,Sonos Sub Mini - schwarz,Sonos,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,943,4.21,5,2022-10-01,2022-10-01
14931,Bosch Smart Home - Starter Set Heizung II mit 10 Thermostaten,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,822,3.83,5,2022-10-01,2022-10-01
14149,Husqvarna 125B Blasgerät - orange,Husqvarna,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,822,1.64,4,2022-10-01,2022-10-01
15080,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ Basic mit 6 Thermostaten & Bridge,tado°,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,763,3.25,2,2022-10-01,2022-10-01
8380,Eve Energy 3er-Pack,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,740,2.91,3,2022-10-01,2022-10-01
11261,TP-Link Tapo P100 Mini Smart WLAN-Steckdose 5er-Set,TP-Link,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,720,3.22,2,2022-10-01,2022-10-01
14479,Bosch Smart Home Heizkörper-Thermostat II 3er-Set,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,697,2.5,3,2022-10-01,2022-10-01
8033,Eve Thermo 3er-Set,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,689,2.76,4,2022-10-01,2022-10-01
14494,Bosch Smart Home - Starter Set Heizung II mit 5 Thermostaten,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,684,2.31,4,2022-10-01,2022-10-01
14740,Eve Aqua + Eve Energy,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,639,2.93,5,2022-10-01,2022-10-01
11119,Spectral Art AX TV-Stand - Eiche natur,Spectral,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,629,2.63,4,2022-10-01,2022-10-01
10014,Chromecast mit Google TV - Smart TV Stick - weiss,Chromecast,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,585,1.98,1,2022-10-01,2022-10-01
11242,TP-Link Tapo C200 Sicherheits-WLAN-Kamera mit Schwenk- und Neigefunktion 2er-Set,TP-Link,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,573,2.08,1,2022-10-01,2022-10-01
1731,tado° Smartes Heizkörper-Thermostat - Zusatzprodukt für Einzelraumsteuerung - Weiss,tado°,Combined_AT_RET_Cat_09062022,553,4.79,3,2022-10-01,2022-10-01
14284,Hombli Smart Pathway Light Starter Kit - Smarte Wegeleuchten 3er-Pack + Extension,Hombli,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,479,2.65,4,2022-10-01,2022-10-01
15081,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ Basic mit 5 Thermostaten & Bridge,tado°,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,474,1.55,4,2022-10-01,2022-10-01
15181,Sonos Sub Mini - weiß,Sonos,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,464,2.51,4,2022-10-01,2022-10-01
14492,Bosch Smart Home - Starter Set Heizung II mit 4 Thermostaten,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,457,1.93,2,2022-10-01,2022-10-01
14738,Eve Aqua - schwarz,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,443,3.02,4,2022-10-01,2022-10-01
4856,Eve Thermo 6er-Pack - Smarter Heizkörper-Thermostat,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,441,1.83,6,2022-10-01,2022-10-01
3809,Sonos One SL Arc 5.1 Heimkino Set,Sonos,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,430,1.46,6,2022-10-01,2022-10-01
15196,Sonos One SL Stereo Set + Sub Mini,Sonos,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,406,1.99,6,2022-10-01,2022-10-01
6120,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ mit 3 Thermostaten & Bridge zur Einzelraumsteuerung,tado°,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,372,2.08,6,2022-10-01,2022-10-01
12157,Google Nest Doorbell (mit Akku) + kostenloser Google Nest Hub (2. Generation),Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,348,1.85,4,2022-10-01,2022-10-01
6391,Eve Thermo 2er-Pack - Smarter Heizkörper-Thermostat,Eve,Combined_AT_RET_Cat_09062022,341,2.94,2,2022-10-01,2022-10-01
14986,Homematic IP Access Point + Heizkörperthermostat kompakt 10er Set,Homematic,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,307,1.46,3,2022-10-01,2022-10-01
5636,SONOS One SL 4er Set - WLAN-Lautsprecher,SONOS,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,286,1.07,4,2022-10-01,2022-10-01
14056,Bosch Smart Home Licht-/ Rollosteuerung II 3er-Pack,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,267,1.35,3,2022-10-01,2022-10-01
15192,Google Chromecast mit Google TV (HD) - weiß,Google,Combined_AT_RET_Cat_09062022,265,2.56,0,2022-10-01,2022-10-01
11359,Google Nest Hub (2. Generation) + kostenlose TP-Link Tapo C100 Innenkamera,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,258,0.96,0,2022-10-01,2022-10-01
12967,Nuki Smart Lock 3.0 + Bridge + Keypad,Nuki,Combined_AT_RET_Cat_09062022,249,3.68,3,2022-10-01,2022-10-01
14475,Bosch Smart Home Heizkörper-Thermostat II - weiß,Bosch,Combined_AT_RET_Cat_09062022,245,2.66,2,2022-10-01,2022-10-01
8195,Google Nest Mini (2. Gen) 2er-Pack - Smarter Lautsprecher mit Sprachsteuerung,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,233,1.01,2,2022-10-01,2022-10-01
12825,powerfox poweropti mit LED-Diode - Smarter Stromzähler - weiß,powerfox,Combined_AT_RET_Cat_09062022,233,4.08,1,2022-10-01,2022-10-01
15082,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ Basic mit 4 Thermostaten & Bridge,tado°,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,232,1.1,1,2022-10-01,2022-10-01
14931,Bosch Smart Home - Starter Set Heizung II mit 10 Thermostaten,Bosch,Combined_AT_RET_Cat_09062022,226,2.9,3,2022-10-01,2022-10-01
14981,Homematic IP Access Point + Heizkörperthermostat kompakt 3er Set,Homematic,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,223,0.94,0,2022-10-01,2022-10-01
14064,Bosch Smart Home Rauchwarnmelder II 3er-Set,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,217,1.01,1,2022-10-01,2022-10-01
14493,Bosch Smart Home - Starter Set Heizung II mit 2 Thermostaten,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,216,0.94,2,2022-10-01,2022-10-01
10184,Eve Thermo 2er-Set + Eve Door & Window 2er-Set,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,207,1.01,0,2022-10-01,2022-10-01
9430,Homematic IP Stellantrieb - motorisch - weiss,Homematic,Combined_AT_RET_Cat_09062022,204,2.35,1,2022-10-01,2022-10-01
10055,Google Nest Audio + Chromecast mit Google TV (4K),Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,191,0.62,3,2022-10-01,2022-10-01
10653,Bosch Smart Home Zwischenstecker kompakt 4er-Set,Bosch,Combined_AT_RET_Cat_09062022,190,1.45,0,2022-10-01,2022-10-01
14983,Homematic IP Access Point + Heizkörperthermostat kompakt 5er Set,Homematic,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,187,1.11,2,2022-10-01,2022-10-01
11250,Google Nest Hub (2. Generation) - Smart Display mit Sprachsteuerung - kreide,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,184,0.82,0,2022-10-01,2022-10-01
7910,Google Nest Mini - Smarter Lautsprecher mit Sprachsteuerung - Kreide,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,178,0.83,0,2022-10-01,2022-10-01
15192,Google Chromecast mit Google TV (HD) - weiß,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,177,0.88,0,2022-10-01,2022-10-01
14480,Bosch Smart Home - Starter Set Heizung II mit 6 Heizkörper-Thermostaten,Bosch,Combined_AT_RET_Cat_09062022,170,2.31,1,2022-10-01,2022-10-01
11251,Google Nest Hub (2. Generation) - Smart Display mit Sprachsteuerung - Carbon,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,165,0.43,0,2022-10-01,2022-10-01
14288,Hombli Smart Wall Light - Smarte Außenwandleuchte 2er-Set,Hombli,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,162,0.85,3,2022-10-01,2022-10-01
14287,Hombli Outdoor Smart Light String 5m + Extension,Hombli,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,150,1.83,0,2022-10-01,2022-10-01
15194,Sonos One SL Beam Sub Mini 5.1 Heimkino Set,Sonos,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,147,0.77,2,2022-10-01,2022-10-01
4419,Sonos One Arc 5.1 Heimkino Set,Sonos,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,146,0.71,2,2022-10-01,2022-10-01
11226,GARDENA smart Sensor (Modell 2021) 2er-Set,GARDENA,Combined_AT_RET_Cat_09062022,146,2.49,0,2022-10-01,2022-10-01
11515,Ring Video Doorbell 4 + Chime Gen. 2,Ring,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,141,0.74,3,2022-10-01,2022-10-01
7643,Google Nest Hub (2. Generation) + gratis TP-Link Tapo P100 Mini Smart WLAN-Steckdose,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,133,0.48,0,2022-10-01,2022-10-01
13094,Xiaomi Mi Wireless Outdoor Security Camera 1080p Set mit 4 Außenkameras,Xiaomi,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,129,0.64,1,2022-10-01,2022-10-01
8120,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ mit 4 Thermostaten & Bridge zur Einzelraumsteuerung,tado°,Combined_AT_RET_Cat_09062022,129,0.92,0,2022-10-01,2022-10-01
10053,Google Nest Audio + Google Nest Hub (2. Generation),Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,126,0.47,1,2022-10-01,2022-10-01
14062,Bosch Smart Home Rauchwarnmelder II 6er-Set,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,125,0.87,1,2022-10-01,2022-10-01
14482,Bosch Smart Home Heizkörper-Thermostat II 6er-Set,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,120,0.79,0,2022-10-01,2022-10-01
13867,Nuki Smart Lock 3.0 + Keypad,Nuki,Combined_AT_RET_Cat_09062022,120,2.31,0,2022-10-01,2022-10-01
293,Eve Thermo - Heizkörperthermostat mit Display & Touchbedienfeld - White,Eve,Combined_AT_RET_Cat_09062022,119,0.67,0,2022-10-01,2022-10-01
4424,Netatmo Heizkörperthermostat Starter Set mit 3 Thermostaten,Netatmo,Combined_AT_RET_Cat_09062022,114,0.72,0,2022-10-01,2022-10-01
10284,Bosch Smart Home Zwischenstecker kompakt 2er-Set,Bosch,Combined_AT_RET_Cat_09062022,112,0.7,0,2022-10-01,2022-10-01
14966,"tado° Smartes Heizkörper-Thermostat Basic - 2er-Pack, Zusatzprodukt zur Einzelraumsteuerung - weiß",tado°,Combined_AT_RET_Cat_09062022,109,0.92,0,2022-10-01,2022-10-01
14492,Bosch Smart Home - Starter Set Heizung II mit 4 Thermostaten,Bosch,Combined_AT_RET_Cat_09062022,109,1.1,1,2022-10-01,2022-10-01
14481,Bosch Smart Home - Starter Set Heizung II mit 3 Heizkörper-Thermostaten,Bosch,Combined_AT_RET_Cat_09062022,108,1.14,1,2022-10-01,2022-10-01
10899,Philips Hue White & Color Ambiance Ensis Bluetooth - Pendelleuchte - Schwarz,Philips,Combined_AT_RET_Cat_09062022,104,1.56,1,2022-10-01,2022-10-01
6762,Ring Quick Release Battery - Ersatzakku - Schwarz,Ring,Combined_AT_RET_Cat_09062022,103,1.07,0,2022-10-01,2022-10-01
15181,Sonos Sub Mini - weiß,Sonos,Combined_AT_RET_Cat_09062022,102,1.66,2,2022-10-01,2022-10-01
6890,Google Nest Hub (2. Generation) 2er-Pack - Smart Display mit Sprachsteuerung,Google,Combined_AT_RET_Cat_09062022,101,0.68,0,2022-10-01,2022-10-01
15070,Fitbit Versa 4 - rosé,Fitbit,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,98,0.37,1,2022-10-01,2022-10-01
6466,Homematic IP Rauchwarnmelder Starter Set - Wohnung,Homematic,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,97,0.41,0,2022-10-01,2022-10-01
14141,Husqvarna Akkuladegerät QC 330 - orange,Husqvarna,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,97,0.33,0,2022-10-01,2022-10-01
13097,eufy Solocam Solar 2K S40 2er-Set,eufy,Combined_AT_RET_Cat_09062022,97,1.39,0,2022-10-01,2022-10-01
10172,Innr Smart Outdoor Sockelleuchte - Starter-Set - schwarz,Innr,Combined_AT_RET_Cat_09062022,96,0.83,0,2022-10-01,2022-10-01
11539,Google Nest Mini + Innr WLAN Lampe E27 Colour 2-pack,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,94,0.32,0,2022-10-01,2022-10-01
14378,Philips Hue Tap Dial Schalter - weiß,Philips,Combined_AT_RET_Cat_09062022,89,1.33,0,2022-10-01,2022-10-01
14298,Twinkly Dots - Smarte Lichterkette mit 200 LEDs - schwarz,Twinkly,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,87,0.67,3,2022-10-01,2022-10-01
10114,Google Nest Cam (Indoor mit Kabel) + Google Nest Hub (2. Generation),Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,87,0.17,0,2022-10-01,2022-10-01
15195,Sonos One Stereo Set + Sub Mini,Sonos,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,86,0.49,1,2022-10-01,2022-10-01
12650,"Google Nest Cam (Indoor, mit Kabel) 2er-Set - WLAN Kamera",Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,86,0.14,0,2022-10-01,2022-10-01
6891,Google Nest Hub (2. Generation) + Google Nest Mini,Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,85,0.3,0,2022-10-01,2022-10-01
6760,Ring Solar Panel - Solarmodul für Spotlight Cam - Schwarz,Ring,Combined_AT_RET_Cat_09062022,85,0.72,1,2022-10-01,2022-10-01
15008,tado° Smartes Heizkörper-Thermostat V3+ Basic - Zusatzprodukt zur Einzelraumsteuerung - weiß,tado°,Combined_AT_RET_Cat_09062022,85,1.02,1,2022-10-01,2022-10-01
11569,Belkin Secure Holder mit Schlaufe für Apple AirTag 3er-Set,Belkin,Combined_AT_RET_Cat_09062022,84,1.31,0,2022-10-01,2022-10-01
14494,Bosch Smart Home - Starter Set Heizung II mit 5 Thermostaten,Bosch,Combined_AT_RET_Cat_09062022,83,1.46,0,2022-10-01,2022-10-01
14708,Google Pixel 6a + kostenloser Google Nest Hub (2. Generation),Google,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,81,0.93,0,2022-10-01,2022-10-01
15180,Sonos Sub Mini - schwarz,Sonos,Combined_AT_RET_Cat_09062022,77,1.73,1,2022-10-01,2022-10-01
14699,Bosch Smart Home Licht-/ Rollosteuerung II 6er-Set,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,76,0.43,2,2022-10-01,2022-10-01
11259,TP-Link Tapo P100 Mini Smart WLAN-Steckdose 4er-Pack - weiß,TP-Link,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,75,0.28,0,2022-10-01,2022-10-01
8444,Bosch Smart Home Raumthermostat - Weiß,Bosch,Combined_AT_RET_Cat_09062022,75,0.79,1,2022-10-01,2022-10-01
12734,Philips Hue LivingColors Iris - LED-Tischleuchte - pink,Philips,Combined_AT_RET_Cat_09062022,74,0.67,1,2022-10-01,2022-10-01
4438,"Ring Spotlight Cam Wired - Überwachungskamera mit Leuchten und Sirene, verkabelt - Schwarz",Ring,Combined_AT_RET_Cat_09062022,69,0.79,0,2022-10-01,2022-10-01
14930,Eve Thermo 8er-Set,Eve,Combined_AT_RET_Cat_09062022,69,0.69,0,2022-10-01,2022-10-01
14488,Eve Thermo + Eve Room,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,67,0.31,0,2022-10-01,2022-10-01
12218,Sonos One SL Arc 5.1 Heimkino Set + Sonos Standfuß (Paar) für Sonos One & Play:1,Sonos,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,67,0.4,0,2022-10-01,2022-10-01
14149,Husqvarna 125B Blasgerät - orange,Husqvarna,Combined_AT_RET_Cat_09062022,66,0.4,1,2022-10-01,2022-10-01
14929,Eve Thermo 10er-Set,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,65,0.37,1,2022-10-01,2022-10-01
14964,"tado° Smartes Heizkörper-Thermostat Basic - 4er-Pack, Zusatzprodukt zur Einzelraumsteuerung - weiß",tado°,Combined_AT_RET_Cat_09062022,64,0.79,0,2022-10-01,2022-10-01
14139,Husqvarna 320iB Akku-Blasgerät - orange,Husqvarna,Combined_AT_RET_Cat_09062022,64,0.41,0,2022-10-01,2022-10-01
14490,Bosch Smart Home Heizkörper-Thermostat II 2er-Set,Bosch,Combined_AT_RET_Cat_09062022,63,0.83,0,2022-10-01,2022-10-01
12157,Google Nest Doorbell (mit Akku) + kostenloser Google Nest Hub (2. Generation),Google,Combined_AT_RET_Cat_09062022,63,0.74,0,2022-10-01,2022-10-01
14934,Netatmo Heizkörper-Thermostat Starter Set mit 8 Thermostaten,Netatmo,Combined_AT_RET_Cat_09062022,62,1.02,1,2022-10-01,2022-10-01
14708,Google Pixel 6a + kostenloser Google Nest Hub (2. Generation),Google,Combined_AT_RET_Cat_09062022,62,0.74,0,2022-10-01,2022-10-01
15080,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ Basic mit 6 Thermostaten & Bridge,tado°,Combined_AT_RET_Cat_09062022,60,0.46,1,2022-10-01,2022-10-01
13582,Eve Door & Window 4er-Set kabelloser Tür-/Fensterkontaktsensor,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,59,0.16,0,2022-10-01,2022-10-01
11334,HomeTec Pro Sichtschutz Tastatur CSS3000 S - weiß,HomeTec,Combined_AT_RET_Cat_09062022,59,0.6,0,2022-10-01,2022-10-01
8380,Eve Energy 3er-Pack,Eve,Combined_AT_RET_Cat_09062022,57,0.57,0,2022-10-01,2022-10-01
11250,Google Nest Hub (2. Generation) - Smart Display mit Sprachsteuerung - kreide,Google,Combined_AT_RET_Cat_09062022,57,0.37,0,2022-10-01,2022-10-01
14986,Homematic IP Access Point + Heizkörperthermostat kompakt 10er Set,Homematic,Combined_AT_RET_Cat_09062022,56,0.67,2,2022-10-01,2022-10-01
14958,Homematic IP Starter Set Heizen - weiß,Homematic,Combined_AT_RET_Cat_09062022,55,0.51,0,2022-10-01,2022-10-01
14479,Bosch Smart Home Heizkörper-Thermostat II 3er-Set,Bosch,Combined_AT_RET_Cat_09062022,55,0.3,0,2022-10-01,2022-10-01
5634,SONOS One 4er Set - WLAN-Lautsprecher mit Sprachsteuerung,SONOS,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,52,0.37,1,2022-10-01,2022-10-01
14621,Hombli Smart Water Controller - Smarter Bewässerungstimer 2er-Set,Hombli,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,51,0.41,0,2022-10-01,2022-10-01
8253,Netatmo Wetterstation + Innenmodul - Silber,Netatmo,Combined_AT_RET_Cat_09062022,51,0.75,0,2022-10-01,2022-10-01
12513,Philips Hue Gradient Signe Stehleuchte 2er-Set,Philips,Combined_AT_RET_Cat_09062022,50,0.84,0,2022-10-01,2022-10-01
6293,Philips Hue LED Flutlicht Discover - Schwarz,Philips,Combined_AT_RET_Cat_09062022,49,0.45,0,2022-10-01,2022-10-01
4856,Eve Thermo 6er-Pack - Smarter Heizkörper-Thermostat,Eve,Combined_AT_RET_Cat_09062022,48,0.6,2,2022-10-01,2022-10-01
10014,Chromecast mit Google TV - Smart TV Stick - weiss,Chromecast,Combined_AT_RET_Cat_09062022,48,0.23,1,2022-10-01,2022-10-01
6120,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ mit 3 Thermostaten & Bridge zur Einzelraumsteuerung,tado°,Combined_AT_RET_Cat_09062022,47,0.55,2,2022-10-01,2022-10-01
15082,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ Basic mit 4 Thermostaten & Bridge,tado°,Combined_AT_RET_Cat_09062022,46,0.68,0,2022-10-01,2022-10-01
14048,Bosch Smart Home - Wohnungspaket Brandschutz (Gen. 2),Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,45,0.27,0,2022-10-01,2022-10-01
13095,Xiaomi Mi Wireless Outdoor Security Camera 1080p Set mit 3 Außenkameras,Xiaomi,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,42,0.2,0,2022-10-01,2022-10-01
5015,Netatmo Heizkörperthermostat Starter Set mit 5 Thermostaten,Netatmo,Combined_AT_RET_Cat_09062022,42,0.58,2,2022-10-01,2022-10-01
11515,Ring Video Doorbell 4 + Chime Gen. 2,Ring,Combined_AT_RET_Cat_09062022,42,0.44,0,2022-10-01,2022-10-01
524,Sonos BOOST - WLAN-Bridge - White,Sonos,Combined_AT_RET_Cat_09062022,41,0.73,0,2022-10-01,2022-10-01
3809,Sonos One SL Arc 5.1 Heimkino Set,Sonos,Combined_AT_RET_Cat_09062022,41,1.54,1,2022-10-01,2022-10-01
12821,powerfox poweropti+ - Smarter Stromzähler - weiß,powerfox,Combined_AT_RET_Cat_09062022,41,0.51,0,2022-10-01,2022-10-01
9919,Philips WelcomeEye Link - Gegensprechanlage mit Videofunktion - schwarz,Philips,Combined_AT_RET_Cat_09062022,40,0.63,1,2022-10-01,2022-10-01
9412,Sonos Move - Tragbarer WLAN- & Bluetooth-Lautsprecher mit AirPlay 2 - Weiß,Sonos,Combined_AT_RET_Cat_09062022,40,0.57,1,2022-10-01,2022-10-01
12906,Eve Thermo 6er-Set + Eve Door & Window 3er-Set,Eve,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,39,0.28,0,2022-10-01,2022-10-01
11242,TP-Link Tapo C200 Sicherheits-WLAN-Kamera mit Schwenk- und Neigefunktion 2er-Set,TP-Link,Combined_AT_RET_Cat_09062022,39,0.24,0,2022-10-01,2022-10-01
15085,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ Basic mit 2 Thermostaten & Bridge,tado°,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,38,0.2,0,2022-10-01,2022-10-01
14495,Bosch Smart Home - Starter Set Heizung II mit 8 Thermostaten,Bosch,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,38,0.21,0,2022-10-01,2022-10-01
14493,Bosch Smart Home - Starter Set Heizung II mit 2 Thermostaten,Bosch,Combined_AT_RET_Cat_09062022,38,0.59,0,2022-10-01,2022-10-01
10910,Canton Smart Soundbar 9 + SUB 8 + 2x Smart Soundbox 3,Canton,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,36,0.25,0,2022-10-01,2022-10-01
10058,Chromecast mit Google TV + Google Nest Mini,Chromecast,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,36,0.11,0,2022-10-01,2022-10-01
5619,Telekom SmartHome Heizkörperthermostat - White,Telekom,Combined_AT_RET_Cat_09062022,36,0.24,0,2022-10-01,2022-10-01
13094,Xiaomi Mi Wireless Outdoor Security Camera 1080p Set mit 4 Außenkameras,Xiaomi,Combined_AT_RET_Cat_09062022,36,0.25,0,2022-10-01,2022-10-01
6672,"Ring Stick Up Cam Battery 2er-Pack - Überwachungskamera für den Innen- und Außenbereich, Gen. 3",Ring,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,35,0.11,1,2022-10-01,2022-10-01
15068,Fitbit Versa 4 - schwarz,Fitbit,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,35,0.14,0,2022-10-01,2022-10-01
12968,Nuki Smart Lock 3.0 + Bridge + gratis Fob,Nuki,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,35,0.11,0,2022-10-01,2022-10-01
12791,eufyCam 2 Pro 4+1 Kit - 4-Kameraset mit HomeBase 2 + eufy Solo IndoorCam Pan & Tilt,eufyCam,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,35,0.22,0,2022-10-01,2022-10-01
12966,Nuki Smart Lock 3.0 + Bridge + Opener,Nuki,Combined_AT_RET_Cat_09062022,35,0.89,1,2022-10-01,2022-10-01
14499,Google Pixel Buds Pro - charcoal,Google,Combined_AT_RET_Cat_09062022,34,0.59,0,2022-10-01,2022-10-01
12966,Nuki Smart Lock 3.0 + Bridge + Opener,Nuki,Partner_AT_PROSP_Conversion_0109-19092022_advantage+ Campaign,33,0.44,0,2022-10-01,2022-10-01
3084,Nuki Fob - Bluetooth Türöffner - Schwarz,Nuki,Combined_AT_RET_Cat_09062022,33,0.11,0,2022-10-01,2022-10-01
15081,tado° Smartes Heizkörper-Thermostat Starter Kit V3+ Basic mit 5 Thermostaten & Bridge,tado°,Combined_AT_RET_Cat_09062022,33,0.2,0,2022-10-01,2022-10-01
