Category	Brand	Your SKU	Product ID	Product Name	Number of merchants	Price	Lowest price incl us	Lowest price incl us	Lowest price excl us	Lowest price excl us	Popularity Rank (category)	Popularity Rank (global)	Price 1 - Merchant Name	Price 1 - Price	Price 1 - Stock status	Price 1 - Shipping cost	Price 2 - Merchant Name	Price 2 - Price	Price 2 - Stock status	Price 2 - Shipping cost	Price 3 - Merchant Name	Price 3 - Price	Price 3 - Stock status	Price 3 - Shipping cost	Price 4 - Merchant Name	Price 4 - Price	Price 4 - Stock status	Price 4 - Shipping cost	Price 5 - Merchant Name	Price 5 - Price	Price 5 - Stock status	Price 5 - Shipping cost	Price 6 - Merchant Name	Price 6 - Price	Price 6 - Stock status	Price 6 - Shipping cost	Price 7 - Merchant Name	Price 7 - Price	Price 7 - Stock status	Price 7 - Shipping cost	Price 8 - Merchant Name	Price 8 - Price	Price 8 - Stock status	Price 8 - Shipping cost	Price 9 - Merchant Name	Price 9 - Price	Price 9 - Stock status	Price 9 - Shipping cost	Price 10 - Merchant Name	Price 10 - Price	Price 10 - Stock status	Price 10 - Shipping cost	Link to product	Gtin14
Accesspunkter, Bryggor & Repeatrar	Google	780008-01	5221532	Google Nest Wifi Point	21	1 790,00	Compumail	1 249,00	Compumail	1 249,00	14	12241	Compumail	1 249,00	In stock	62,00	ComputerSalg.se	1 273,00	In stock	49,00	Cdon	1 347,00	In stock	0,00	Webhallen SE	1 349,00	In stock	0,00	Amazon.se	1 349,00	In stock		Elgruvan	1 389,00	In stock	0,00	Datagrottan	1 412,00	In stock	29,00	Emarket	1 529,00	In stock	0,00	Komplett	1 590,00	Out of stock	0,00	Elektronikhuset Ljud & Data	1 619,00	Unknown stock status	0,00	https://www.pricerunner.se/pl/272-5221532/Accesspunkter-Bryggor-Repeatrar/Google-Nest-Wifi-Point-priser	00193575004648
Barnsäkerhet		124002-01	3202549628	EBO	7	1 290,00	tink	1 290,00	ullakulla se	1 499,99			tink	1 290,00	In stock	0,00	ullakulla se	1 499,99	In stock	0,00	ShopBetter.se	1 509,99	In stock	0,00	Allectra	1 599,00	In stock	99,00	Coolpriser.se	1 711,00	In stock	39,00	Cdon	1 749,00	In stock	49,00	RDEButik	1 784,00	Unknown stock status	119,00													https://www.pricerunner.se/pl/497-3202549628/Barnsaekerhet/EBO-priser	06972822120188
Batterier & Laddbart	Ring	360008-01	5151271	Ring Quick Release	17	349,00	Compumail	318,00	Compumail	318,00	447	38845	Compumail	318,00	In stock	62,00	Elgiganten	346,00	In stock	39,00	tink	349,00	In stock	0,00	Proshop	357,00	In stock	59,00	ComputerSalg.se	365,00	In stock	49,00	Kjell & Company	379,90	In stock	49,00	Datagrottan	388,00	In stock	29,00	Dustin Home	395,00	In stock	69,00	Cdon	414,00	In stock	0,00	Westium Data	440,00	In stock	150,00	https://www.pricerunner.se/pl/528-5151271/Batterier-Laddbart/Ring-Quick-Release-priser	00842861101041
Batterier & Laddbart	Arlo	1210016-01	3200468484	Arlo VMA5600B-20000S	14	749,00	Inet	699,00	Inet	699,00	909	85422	Inet	699,00	In stock	0,00	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	MJ Multimedia	785,00	Out of stock	89,00	Coolshop SE	793,00	Unknown stock status	0,00	Elon	795,00	In stock	0,00	Komplett	799,00	In stock	0,00	Gravis.de	802,44	In stock	286,51	Compumail	846,00	In stock	62,00	https://www.pricerunner.se/pl/528-3200468484/Batterier-Laddbart/Arlo-VMA5600B-20000S-priser	00193108141574
Batterier & Laddbart	Arlo	1210016-02	3200347672	Arlo VMA5600-20000S	20	749,00	Compumail	674,00	Compumail	674,00	179	17319	Compumail	674,00	In stock	62,00	Inet	699,00	In stock	0,00	St George Security Store	745,00	In stock	69,00	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	MediaMarkt	749,00	In stock	0,00	Kjell & Company	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	MJ Multimedia	785,00	Out of stock	89,00	Komplett	799,00	In stock	0,00	https://www.pricerunner.se/pl/528-3200347672/Batterier-Laddbart/Arlo-VMA5600-20000S-priser	00193108141567
Batterier & Laddbart	Arlo	1210003-01	5280446	Arlo VMA3600	29	695,00	Power SE	469,00	Power SE	469,00	114	11901	Power SE	469,00	In stock	49,00	Proshop	469,00	In stock	59,00	Dustin Home	469,00	In stock	69,00	Inet	495,00	Out of stock	0,00	Elgiganten	495,00	In stock	39,00	Webhallen SE	499,00	Out of stock	49,00	MJ Multimedia	505,00	Out of stock	89,00	Compumail	547,00	In stock	62,00	MediaMarkt	549,00	In stock	0,00	Kjell & Company	549,00	In stock	0,00	https://www.pricerunner.se/pl/528-5280446/Batterier-Laddbart/Arlo-VMA3600-priser	00193108141093
Batterier & Laddbart	ABUS	130009-01	3204612654	ABUS Solcellspanel (för WLAN Battery Cam) vit	3	654,00	tink	654,00	Cdon	990,00			tink	654,00	In stock	0,00	Cdon	990,00	In stock	59,00	ComputerSalg.se	1 797,00	In stock	0,00																													https://www.pricerunner.se/pl/528-3204612654/Batterier-Laddbart/ABUS-Solcellspanel-%28foer-WLAN-Battery-Cam%29-vit-priser	04003318966668
Batterier & Laddbart	Sonos	220003-01	3200110991	Sonos Roam Wireless Charger	18	549,00	Datia	446,00	Datia	446,00	261	24308	Datia	446,00	Unknown stock status	124,00	Komplett	479,00	In stock	19,00	MediaMarkt	479,00	In stock	49,00	Davids	498,00	In stock	0,00	Hi-Fi Klubben Sverige	498,00	In stock	0,00	Inet	499,00	In stock	0,00	Hembiobutiken	499,00	In stock	0,00	Dustin Home	499,00	In stock	29,00	Elgiganten	499,00	In stock	39,00	tink	549,00	In stock	0,00	https://www.pricerunner.se/pl/528-3200110991/Batterier-Laddbart/Sonos-Roam-Wireless-Charger-priser	08717755777973
Belysning	Meross	250019-01	3203897073	Meross MSL430HK Bordslampa	6	550,00	ComputerSalg.se	411,00	ComputerSalg.se	411,00			ComputerSalg.se	411,00	In stock	49,00	Amazon.se	461,64	In stock		iPhonebutiken	499,00	In stock	49,00	tink	550,00	In stock	0,00	Compumail	590,00	Out of stock	62,00	Fcomputer SE	764,00	In stock	69,00																	https://www.pricerunner.se/pl/460-3203897073/Belysning/Meross-MSL430HK-Bordslampa-priser	06973696560483
Belysning	Innr	800023-01	3203771111	Innr Utomhuslampa OPL Pollare	12	1 899,00	Cdon	1 499,00	Cdon	1 499,00			Cdon	1 499,00	In stock	49,00	Compumail	1 535,00	In stock	0,00	ComputerSalg.se	1 619,00	In stock	0,00	Buyersclub	1 759,00	In stock	49,00	Komplett	1 829,00	In stock	0,00	Proshop	1 829,00	In stock	0,00	Elon	1 890,00	In stock	0,00	tink	1 899,00	In stock	0,00	Elektronik24	2 112,00	Out of stock	49,00	Teknikproffset	2 199,00	Unknown stock status	0,00	https://www.pricerunner.se/pl/460-3203771111/Belysning/Innr-Utomhuslampa-OPL-Pollare-priser	08718781552770
