Category	Brand	Your SKU	Product ID	Product Name	Number of merchants	Price	Lowest price incl us	Lowest price incl us	Lowest price excl us	Lowest price excl us	Popularity Rank (category)	Popularity Rank (global)	Price 1 - Merchant Name	Price 1 - Price	Price 1 - Stock status	Price 1 - Shipping cost	Price 2 - Merchant Name	Price 2 - Price	Price 2 - Stock status	Price 2 - Shipping cost	Price 3 - Merchant Name	Price 3 - Price	Price 3 - Stock status	Price 3 - Shipping cost	Price 4 - Merchant Name	Price 4 - Price	Price 4 - Stock status	Price 4 - Shipping cost	Price 5 - Merchant Name	Price 5 - Price	Price 5 - Stock status	Price 5 - Shipping cost	Price 6 - Merchant Name	Price 6 - Price	Price 6 - Stock status	Price 6 - Shipping cost	Price 7 - Merchant Name	Price 7 - Price	Price 7 - Stock status	Price 7 - Shipping cost	Price 8 - Merchant Name	Price 8 - Price	Price 8 - Stock status	Price 8 - Shipping cost	Price 9 - Merchant Name	Price 9 - Price	Price 9 - Stock status	Price 9 - Shipping cost	Price 10 - Merchant Name	Price 10 - Price	Price 10 - Stock status	Price 10 - Shipping cost	Link to product	Gtin14
Belysning	Innr	800009-01	3203982567	Innr Flex Ljuslist	7	799,00	tink	799,00	Komplett	829,00			tink	799,00	In stock	0,00	Komplett	829,00	In stock	0,00	Proshop	913,00	Out of stock	59,00	Lamp24	999,00	In stock	0,00	Cdon	1 057,00	In stock	0,00	ComputerSalg.se	1 064,00	In stock	0,00	Buyersclub	1 099,00	In stock	49,00													https://www.pricerunner.se/pl/460-3203982567/Belysning/Innr-Flex-Ljuslist-priser	08718781552732
Belysning	Twinkly	310008-02	3203970209	Twinkly RGB LED-listförlängning Ljuslist	5	499,00	tink	499,00	Lampmani	545,00			tink	499,00	In stock	0,00	Lampmani	545,00	In stock	99,00	Cdon	555,00	In stock	0,00	Bauhaus	599,00	In stock	59,00	Elgiganten	599,00	In stock	49,00																					https://www.pricerunner.se/pl/460-3203970209/Belysning/Twinkly-RGB-LED-listfoerlaengning-Ljuslist-priser	08056326677886
Belysning	Twinkly	310009-02	3203467414	Twinkly Line Ljuslist	6	899,00	ComputerSalg.se	877,00	ComputerSalg.se	877,00			ComputerSalg.se	877,00	In stock	59,00	tink	899,00	In stock	0,00	Cdon	926,00	In stock	0,00	Lampmani	986,00	In stock	0,00	Bauhaus	1 049,00	In stock	59,00	Elgiganten	1 049,00	In stock	0,00																	https://www.pricerunner.se/pl/460-3203467414/Belysning/Twinkly-Line-Ljuslist-priser	08056326677879
Belysning	Philips Hue	230023-01	5227043	Philips Hue Lightstrip Plus V4 EMEA 2m Base kit Ljuslist	49	899,00	Mätteknik för alla	719,00	Mätteknik för alla	719,00	4	1394	Mätteknik för alla	719,00	In stock	0,00	Power SE	748,00	Out of stock	0,00	MediaMarkt	748,00	In stock	0,00	Elgiganten	748,00	In stock	49,00	Proshop	765,00	In stock	59,00	Hornbach	773,00	In stock	69,90	Inet	829,00	In stock	0,00	Cdon	829,00	In stock	0,00	Elon	859,00	In stock	0,00	Tele-Hå	890,00	In stock	0,00	https://www.pricerunner.se/pl/460-5227043/Belysning/Philips-Hue-Lightstrip-Plus-V4-EMEA-2m-Base-kit-Ljuslist-priser	08718699703424
Belysning	Innr	800005-01	3203818609	Innr OSL 130 Spotlight	8	399,00	tink	399,00	Elon	399,00			tink	399,00	In stock	0,00	Elon	399,00	In stock	29,00	Komplett	459,00	In stock	19,00	Proshop	484,00	Out of stock	59,00	ComputerSalg.se	498,00	In stock	59,00	Buyersclub	529,00	In stock	49,00	Cdon	547,00	In stock	0,00	Lamp24	549,00	In stock	0,00									https://www.pricerunner.se/pl/460-3203818609/Belysning/Innr-OSL-130-Spotlight-priser	08718781552565
Belysning	Hombli	300043-01	3204904340	Hombli Smart Light V2 Väggarmatur	10	699,00	ComputerSalg.se	658,00	ComputerSalg.se	658,00			ComputerSalg.se	658,00	In stock	59,00	Proshop	658,00	In stock	59,00	Coolshop SE	695,00	In stock	0,00	Spelbutiken	695,00	In stock	0,00	tink	699,00	In stock	0,00	Datia	705,00	Unknown stock status	124,00	iPhonebutiken	749,00	Out of stock	49,00	Compliq	830,00	Out of stock	123,75	Gameshop	854,00	Preorder	79,00	Ginza AB	959,00	Preorder	0,00	https://www.pricerunner.se/pl/460-3204904340/Belysning/Hombli-Smart-Light-V2-Vaeggarmatur-priser	08719323919754
Belysning	Twinkly	310004-01	3203279945	Twinkly Festoon Ljusslinga 40 Lampor	5	1 999,00	tink	1 999,00	ComputerSalg.se	2 117,00	1705	118730	tink	1 999,00	In stock	0,00	ComputerSalg.se	2 117,00	In stock	0,00	Cdon	2 157,00	In stock	0,00	Lampmani	2 299,00	In stock	0,00	Elgiganten	2 499,00	In stock	0,00																					https://www.pricerunner.se/pl/460-3203279945/Belysning/Twinkly-Festoon-Ljusslinga-40-Lampor-priser	08056326678272
Belysning	Philips Hue	230041-01	4909799	Philips Hue Col Play UK EXT Väggarmatur	39	689,00	MediaMarkt	499,00	MediaMarkt	499,00	579	46409	MediaMarkt	499,00	In stock	49,00	Onlinedeal24	508,12	Unknown stock status	202,57	Power SE	549,00	In stock	0,00	Inet	549,00	In stock	0,00	Webhallen SE	549,00	Out of stock	0,00	Cdon	549,00	In stock	0,00	Lamper	549,26	Unknown stock status	0,00	Elgiganten	580,00	In stock	49,00	Dustin Home	583,00	Preorder	69,00	Proshop	593,00	In stock	59,00	https://www.pricerunner.se/pl/460-4909799/Belysning/Philips-Hue-Col-Play-UK-EXT-Vaeggarmatur-priser	08718696170731
Belysning	Philips Hue	230043-01	3200846963	Philips Hue Xamento M Takplafond 38.1cm	19	2 319,00	Komplett	1 999,00	Komplett	1 999,00	545	44909	Komplett	1 999,00	In stock	0,00	Elgiganten	2 045,00	In stock	0,00	Bauhaus	2 056,00	Out of stock	59,00	Elbutik	2 058,00	In stock	0,00	Proshop	2 095,00	In stock	0,00	Lamper	2 099,11	Unknown stock status	0,00	ComputerSalg.se	2 317,00	In stock	0,00	Cdon	2 317,00	In stock	0,00	tink	2 319,00	In stock	0,00	Webhallen SE	2 319,00	Out of stock	0,00	https://www.pricerunner.se/pl/460-3200846963/Belysning/Philips-Hue-Xamento-M-Takplafond-38.1cm-priser	08719514452251
Belysning	Philips Hue	230032 -01	4688527	Philips Hue Col Play Single PK EU/UK Väggarmatur	36	769,00	MediaMarkt	599,00	MediaMarkt	599,00	742	61764	MediaMarkt	599,00	In stock	0,00	Power SE	699,00	Out of stock	0,00	Inet	699,00	In stock	0,00	Webhallen SE	699,00	Out of stock	0,00	Cdon	699,00	In stock	0,00	Elbutik	706,00	Out of stock	49,00	Lamper	714,19	Unknown stock status	0,00	Elgiganten	749,00	In stock	49,00	Dustin Home	764,00	Preorder	69,00	tink	769,00	In stock	0,00	https://www.pricerunner.se/pl/460-4688527/Belysning/Philips-Hue-Col-Play-Single-PK-EU-UK-Vaeggarmatur-priser	08718696170717
Belysning	Innr	8000005	3204097823	Innr Smart Spotlight	6	1 805,25	Cdon	1 399,00	Cdon	1 399,00			Cdon	1 399,00	In stock	0,00	Komplett	1 639,00	In stock	0,00	Elon	1 690,00	In stock	0,00	tink	1 805,25	Out of stock	0,00	Lamp24	1 899,00	In stock	0,00	Teknikproffset	1 934,00	Unknown stock status	0,00																	https://www.pricerunner.se/pl/460-3204097823/Belysning/Innr-Smart-Spotlight-priser	08718781552541
Belysning	Philips Hue	230044-01	3201076006	Philips Hue Gradient Signe EU/UK Golvlampa	21	3 679,00	Komplett	3 030,00	Komplett	3 030,00	147	15939	Komplett	3 030,00	In stock	0,00	Webhallen SE	3 190,00	Out of stock	0,00	Cdon	3 190,00	In stock	0,00	Amazon.se	3 190,00	In stock		Elbutik	3 190,00	Out of stock	0,00	Inet	3 190,00	In stock	0,00	Proshop	3 272,00	In stock	0,00	ComputerSalg.se	3 409,00	In stock	0,00	Dustin Home	3 495,00	Preorder	0,00	Coolshop SE	3 629,00	In stock	0,00	https://www.pricerunner.se/pl/460-3201076006/Belysning/Philips-Hue-Gradient-Signe-EU-UK-Golvlampa-priser	08719514433526
Belysning	Philips Hue	230029-01	5197660	Philips Hue Outdoor 5m EU Ljuslist	47	1 999,00	Mätteknik för alla	1 663,00	Mätteknik för alla	1 663,00	39	7272	Mätteknik för alla	1 663,00	In stock	0,00	Power SE	1 890,00	In stock	0,00	Webhallen SE	1 890,00	Out of stock	0,00	GardenStore	1 974,00	In stock	59,00	Kjell & Company	1 990,00	In stock	0,00	Hornbach	1 990,00	In stock	79,90	Coolshop SE	1 995,00	In stock	0,00	Spelbutiken	1 995,00	In stock	0,00	tink	1 999,00	In stock	0,00	Komplett	2 053,00	In stock	0,00	https://www.pricerunner.se/pl/460-5197660/Belysning/Philips-Hue-Outdoor-5m-EU-Ljuslist-priser	08718699709853
Belysning	Philips Hue	230027-01	4569939	Philips Hue Lily Ext. Spike 1x8W 24V Markbelysning 8.4cm	36	999,00	Webhallen SE	849,00	Webhallen SE	849,00	252	24412	Webhallen SE	849,00	Unknown stock status	0,00	Power SE	930,00	In stock	0,00	Elgiganten	930,00	In stock	49,00	Proshop	949,00	In stock	59,00	Dustin Home	960,00	In stock	69,00	Lomax	983,75	In stock	0,00	tink	999,00	In stock	0,00	Hemprodukter	999,00	In stock	0,00	Proffsmagasinet	1 000,00	In stock	0,00	Elbutik	1 009,00	Out of stock	0,00	https://www.pricerunner.se/pl/460-4569939/Belysning/Philips-Hue-Lily-Ext.-Spike-1x8W-24V-Markbelysning-8.4cm-priser	08718696167977
Belysning	Philips Hue	230026-01	4569973	Philips Hue Lily Base Unit Spike 3x8W 24V Markbelysning 19.3cm 3st	30	2 999,00	Compumail	2 982,00	Compumail	2 982,00	24	6032	Compumail	2 982,00	In stock	0,00	Power SE	2 989,00	In stock	0,00	Proshop	2 998,00	In stock	0,00	tink	2 999,00	In stock	0,00	K-Rauta	2 999,00	In stock	59,00	Elbutik	3 077,00	Out of stock	0,00	Lomax	3 167,50	In stock	0,00	Lamper	3 182,75	Unknown stock status	0,00	Hemprodukter	3 279,00	In stock	0,00	Proffsmagasinet	3 283,00	In stock	0,00	https://www.pricerunner.se/pl/460-4569973/Belysning/Philips-Hue-Lily-Base-Unit-Spike-3x8W-24V-Markbelysning-19.3cm-3st-priser	08718696167960
Belysning	Meross	250020-01	3204257219	Meross Wifi Led Strip Works Apple Homekit Ljuslist	4	549,00	ComputerSalg.se	498,00	ComputerSalg.se	498,00			ComputerSalg.se	498,00	In stock	59,00	tink	549,00	In stock	0,00	Cdon	582,00	In stock	0,00	iPhonebutiken	649,00	In stock	49,00																									https://www.pricerunner.se/pl/460-3204257219/Belysning/Meross-Wifi-Led-Strip-Works-Apple-Homekit-Ljuslist-priser	00680306682706
