Category	Brand	Your SKU	Product ID	Product Name	Number of merchants	Price	Lowest price incl us	Lowest price incl us	Lowest price excl us	Lowest price excl us	Popularity Rank (category)	Popularity Rank (global)	Price 1 - Merchant Name	Price 1 - Price	Price 1 - Stock status	Price 1 - Shipping cost	Price 2 - Merchant Name	Price 2 - Price	Price 2 - Stock status	Price 2 - Shipping cost	Price 3 - Merchant Name	Price 3 - Price	Price 3 - Stock status	Price 3 - Shipping cost	Price 4 - Merchant Name	Price 4 - Price	Price 4 - Stock status	Price 4 - Shipping cost	Price 5 - Merchant Name	Price 5 - Price	Price 5 - Stock status	Price 5 - Shipping cost	Price 6 - Merchant Name	Price 6 - Price	Price 6 - Stock status	Price 6 - Shipping cost	Price 7 - Merchant Name	Price 7 - Price	Price 7 - Stock status	Price 7 - Shipping cost	Price 8 - Merchant Name	Price 8 - Price	Price 8 - Stock status	Price 8 - Shipping cost	Price 9 - Merchant Name	Price 9 - Price	Price 9 - Stock status	Price 9 - Shipping cost	Price 10 - Merchant Name	Price 10 - Price	Price 10 - Stock status	Price 10 - Shipping cost	Link to product	Gtin14
Accesspunkter, Bryggor & Repeatrar	Google	780008-01	5221532	Google Nest Wifi Point	20	1 790,00	Compumail	1 282,00	Compumail	1 282,00	7	13579	Compumail	1 282,00	In stock	62,00	ComputerSalg.se	1 342,00	In stock	0,00	Cdon	1 342,00	In stock	0,00	Elgruvan	1 389,00	In stock	0,00	Datagrottan	1 438,00	In stock	29,00	Webhallen SE	1 499,00	In stock	0,00	Emarket	1 529,00	In stock	0,00	Proshop	1 659,00	In stock	0,00	Coolshop SE	1 749,00	In stock	0,00	Spelbutiken	1 749,00	In stock	0,00	https://www.pricerunner.se/pl/272-5221532/Accesspunkter-Bryggor-Repeatrar/Google-Nest-Wifi-Point-priser	00193575004648
Barnsäkerhet		124002-01	3202549628	EBO	7	1 290,00	tink	1 290,00	Rabattklubb	1 519,99			tink	1 290,00	In stock	0,00	Rabattklubb	1 519,99	In stock	0,00	ullakulla se	1 529,99	In stock	0,00	ShopBetter.se	1 539,99	In stock	0,00	Allectra	1 619,00	In stock	99,00	Coolpriser.se	1 711,00	In stock	39,00	RDEButik	1 814,00	Unknown stock status	119,00													https://www.pricerunner.se/pl/497-3202549628/Barnsaekerhet/EBO-priser	06972822120188
Batterier & Laddbart	Ring	360008-01	5151271	Ring Quick Release	17	349,00	ComputerSalg.se	312,00	ComputerSalg.se	312,00	398	39492	ComputerSalg.se	312,00	Out of stock	49,00	TechInn	314,99	In stock		Compumail	326,00	In stock	62,00	Elgiganten	346,00	In stock	39,00	tink	349,00	In stock	0,00	Proshop	349,00	In stock	59,00	Datagrottan	374,00	In stock	29,00	Kjell & Company	379,90	In stock	49,00	Dustin Home	395,00	In stock	69,00	Elektronikhuset Ljud & Data	429,00	Unknown stock status	0,00	https://www.pricerunner.se/pl/528-5151271/Batterier-Laddbart/Ring-Quick-Release-priser	00842861101041
Batterier & Laddbart	Arlo	1210016-01	3200468484	Arlo VMA5600B-20000S	13	749,00	tink	749,00	Webhallen SE	749,00	373	37158	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	Inet	749,00	In stock	0,00	Cdon	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	Coolshop SE	793,00	Unknown stock status	0,00	Elon	795,00	In stock	0,00	Komplett	799,00	In stock	0,00	Compumail	855,00	In stock	62,00	Ginza AB	939,00	Preorder	0,00	https://www.pricerunner.se/pl/528-3200468484/Batterier-Laddbart/Arlo-VMA5600B-20000S-priser	00193108141574
Batterier & Laddbart	Arlo	1210016-02	3200347672	Arlo VMA5600-20000S	17	749,00	Inet	699,00	Inet	699,00	211	21431	Inet	699,00	Out of stock	0,00	St George Security Store	745,00	In stock	69,00	tink	749,00	In stock	0,00	Webhallen SE	749,00	In stock	0,00	MediaMarkt	749,00	In stock	0,00	Kjell & Company	749,00	In stock	0,00	Elgiganten	749,00	In stock	39,00	Multitech Data	761,00	In stock	95,00	Komplett	799,00	In stock	0,00	Elon	890,00	In stock	0,00	https://www.pricerunner.se/pl/528-3200347672/Batterier-Laddbart/Arlo-VMA5600-20000S-priser	00193108141567
Batterier & Laddbart	Arlo	1210003-01	5280446	Arlo VMA3600	28	695,00	Power SE	469,00	Power SE	469,00	61	6898	Power SE	469,00	Out of stock	49,00	Proshop	469,00	In stock	59,00	Dustin Home	469,00	In stock	69,00	Inet	495,00	In stock	0,00	Elgiganten	495,00	In stock	39,00	Webhallen SE	499,00	Out of stock	49,00	MediaMarkt	549,00	In stock	0,00	Kjell & Company	549,00	In stock	0,00	ComputerSalg.se	552,00	In stock	49,00	Compumail	556,00	In stock	62,00	https://www.pricerunner.se/pl/528-5280446/Batterier-Laddbart/Arlo-VMA3600-priser	00193108141093
Batterier & Laddbart	ABUS	130009-01	3204612654	ABUS Solcellspanel (för WLAN Battery Cam) vit	3	654,00	tink	654,00	ComputerSalg.se	1 817,00			tink	654,00	In stock	0,00	ComputerSalg.se	1 817,00	In stock	0,00	Cdon	1 817,00	In stock	0,00																													https://www.pricerunner.se/pl/528-3204612654/Batterier-Laddbart/ABUS-Solcellspanel-%28foer-WLAN-Battery-Cam%29-vit-priser	04003318966668
Batterier & Laddbart	Sonos	220003-01	3200110991	Sonos Roam Wireless Charger	18	549,00	Komplett	419,00	Komplett	419,00	156	16581	Komplett	419,00	Out of stock	19,00	Hi-Fi Klubben Sverige	419,00	In stock	29,00	Datia	446,00	Unknown stock status	124,00	Lomax	491,25	Unknown stock status	99,00	Davids	498,00	In stock	0,00	MediaMarkt	499,00	In stock	49,00	Sonos	499,00	In stock	0,00	Inet	499,00	In stock	0,00	Hembiobutiken	499,00	In stock	0,00	Dustin Home	499,00	Preorder	29,00	https://www.pricerunner.se/pl/528-3200110991/Batterier-Laddbart/Sonos-Roam-Wireless-Charger-priser	08717755777973
Belysning	Meross	250019-01	3203897073	Meross MSL430HK Bordslampa	7	550,00	ComputerSalg.se	401,00	ComputerSalg.se	401,00	2490	150447	ComputerSalg.se	401,00	In stock	49,00	iPhonebutiken	499,00	Out of stock	49,00	tink	550,00	In stock	0,00	Compumail	606,00	Out of stock	62,00	BricoInn	627,99	In stock	119,99	Cdon	733,00	In stock	0,00	Fcomputer SE	764,00	In stock	69,00													https://www.pricerunner.se/pl/460-3203897073/Belysning/Meross-MSL430HK-Bordslampa-priser	06973696560483
Belysning	Innr	8000006	3203771111	Innr Utomhuslampa OPL Pollare	11	1 899,00	Cdon	1 299,00	Cdon	1 299,00			Cdon	1 299,00	In stock	0,00	Komplett	1 829,00	In stock	0,00	ComputerSalg.se	1 853,00	In stock	0,00	Proshop	1 853,00	In stock	0,00	Elon	1 890,00	In stock	0,00	tink	1 899,00	In stock	0,00	Buyersclub	1 979,00	In stock	49,00	Elektronik24	2 093,00	Out of stock	49,00	Teknikproffset	2 199,00	Unknown stock status	0,00	Lamp24	2 199,00	In stock	0,00	https://www.pricerunner.se/pl/460-3203771111/Belysning/Innr-Utomhuslampa-OPL-Pollare-priser	08718781552770
